Time,Goal_Position_0,Goal_Position_1,Present_Position_0,Present_Position_1
1746285664.866173,-138438.06915760133,15366.625676493748,-7555,14637
1746285664.8981922,-143973.16216892522,15981.0210007507,-17002,15431
1746285664.930304,-148050.33526821475,16433.587214771836,-26484,16022
1746285664.9621496,-150633.09346750457,16720.273374893008,-35928,16478
1746285664.9944227,-151700.07566315428,16838.708398610124,-45418,16756
1746285665.026268,-151227.02891420727,16786.200209477007,-54861,16828
1746285665.0581532,-149235.8780250762,16565.182460783457,-64325,16817
1746285665.0901525,-145733.93531221183,16176.466819655514,-73790,16709
1746285665.122151,-140760.8490350984,15624.454242895921,-83213,16227
1746285665.1542907,-134354.42718629356,14913.341417678586,-92728,15556
1746285665.1862228,-126612.27906546976,14053.962976267145,-102158,14851
1746285665.218261,-117572.25938169261,13050.52079136788,-111116,13989
1746285665.250498,-107280.35980444928,11908.11993829387,-117129,12837
1746285665.282565,-96048.2589431099,10661.356742685199,-117261,11500
1746285665.3144982,-83688.24117467394,9289.394770388806,-114666,10672
1746285665.3465693,-70535.45003767735,7829.434954182186,-110819,9375
1746285665.3781905,-56853.723412719584,6310.763298811874,-104587,7827
1746285665.4105442,-42384.46228855109,4704.675314029171,-97444,6340
1746285665.4422343,-27594.653115674584,3063.006495839879,-87943,4899
1746285665.4741833,-12505.79769214501,1388.1435438280962,-77680,3249
1746285665.5063,2775.0721705657706,-308.0330109328005,-69551,1543
1746285665.5383415,17947.194402891055,-1992.1385787209072,-60017,-72
1746285665.570402,33069.129814591746,-3670.673409419684,-49265,-1778
1746285665.602477,47797.24394454924,-5305.494077844965,-39879,-3444
1746285665.6343303,61895.75318004658,-6870.428602985171,-31630,-5103
1746285665.668743,76502.75381557655,-8491.805673528996,-21536,-6703
1746285665.6982827,88313.59550238855,-9802.80910076513,-12697,-8211
1746285665.7301927,100246.00501033978,-11127.306556147716,-2039,-9778
1746285665.762321,111166.91524535819,-12339.52759223476,6198,-11068
1746285665.79416,120968.4994566511,-13427.503439688273,16866,-12320
1746285665.8263512,129577.76303641518,-14383.131697042085,26313,-13455
1746285665.8582163,136828.5740150848,-15187.971715674412,35775,-14414
1746285665.8904262,142748.5237847643,-15845.086140108835,44071,-15241
1746285665.9223847,147185.78418993446,-16337.622045082726,53526,-15877
1746285665.954214,150128.1187221312,-16664.221178156564,62999,-16390
1746285665.986446,151574.35674788244,-16824.75359901495,72467,-16704
1746285666.0181808,151491.64717046448,-16815.572835921557,83117,-16833
1746285666.05012,149882.9162011209,-16637.00369832442,92597,-16831
1746285666.08241,146729.00180882114,-16286.919200779146,100884,-16745
1746285666.1144133,142145.84920541517,-15778.189261801086,110316,-16333
1746285666.1464224,136054.83649208333,-15102.086850621248,120951,-15743
1746285666.1783304,128659.2682125752,-14281.178771595847,128005,-14961
1746285666.2101703,119969.2878265767,-13316.590948750014,134276,-14076
1746285666.2425175,109998.65946772622,-12209.85120091761,138697,-13177
1746285666.274196,98992.64231296579,-10988.183296739204,141293,-12133
1746285666.3061907,86966.12830349247,-9653.240241687663,142087,-10872
1746285666.3381522,74055.87242141087,-8220.201838776606,140831,-9618
1746285666.370139,60388.66366104057,-6703.1416663755035,137438,-8253
1746285666.402139,46130.79364376202,-5120.518094457585,133110,-6787
1746285666.4342496,31374.576686975528,-3482.5780122542837,126518,-5210
1746285666.4662886,16310.213776599789,-1810.4337292025766,117968,-3591
1746285666.498132,1102.4668054157487,-122.37381540114812,107205,-2005
1746285666.5304806,-14116.731963226386,1566.9572479181288,99086,-361
1746285666.5620975,-29201.440958796113,3241.359946426369,88603,1377
1746285666.594392,-44121.883400242565,4897.529057426925,80291,3040
1746285666.6261163,-58354.53943963304,6477.353877799267,70735,4702
1746285666.6584039,-72239.4030836747,8018.573742287891,60119,6312
1746285666.6927783,-86166.44796783604,9564.4757244298,50989,7845
1746285666.7223413,-97390.48078925193,10810.343367606965,42366,9296
1746285666.7543595,-108583.62637497789,12052.782527622545,32905,10803
1746285666.7860746,-118598.04528909603,13164.38302708966,23489,12006
1746285666.818087,-127498.305918787,14152.311956985355,13968,13193
1746285666.8501892,-135129.20591648098,14999.341856729388,3369,14188
1746285666.8823116,-141359.287113844,15690.880869636687,-4900,15049
1746285666.9141643,-146180.90941624195,16226.080945202857,-14392,15749
1746285666.9464803,-149537.47426322792,16598.6596432183,-23849,16270
1746285666.978333,-151353.75102971925,16800.266364298837,-33330,16635
1746285667.0102441,-151655.14951976572,16833.721596693995,-42785,16810
