Time,Axis_0_Value,Axis_1_Value
1744359095.8673162,1,2
1744359095.8673697,1,2
1744359095.867423,1,2
1744359095.8674765,1,2
1744359095.8675296,1,2
1744359095.8675833,1,2
1744359095.8676372,1,2
1744359095.867691,1,2
1744359095.8677442,1,2
1744359095.8677976,1,2
1744359095.8678513,1,2
1744359095.8679044,1,2
1744359095.8679578,1,2
1744359095.8680112,1,2
1744359095.8680644,1,2
1744359095.8681178,1,2
1744359095.8681712,1,2
1744359095.8682246,1,2
1744359095.8682883,1,2
1744359095.8683417,1,2
1744359095.8683956,1,2
1744359095.868449,1,2
1744359095.8685026,1,2
1744359095.8685563,1,2
1744359095.8686101,1,2
1744359095.8686638,1,2
1744359095.8689075,1,2
1744359095.868965,1,2
1744359095.8690188,1,2
1744359095.8690734,1,2
1744359095.8691273,1,2
1744359095.8691807,1,2
1744359095.869234,1,2
1744359095.8692875,1,2
1744359095.8693411,1,2
